일련번호,발령일,발령시간,발령지역,발령권역,농도,해제날짜,해제시간
271,2024-03-17,12:00,경기,중부권,201,2024-03-17,19:00
272,2024-03-17,16:00,전남,중부권,172,2024-03-17,22:00
273,2024-03-17,15:00,전북,중부권역,210,2024-03-17,21:00
274,2024-03-17,14:00,충북,중부권역,193,2024-03-17,18:00
275,2024-03-17,19:00,경남,함양권역,160,2024-03-18,01:00
276,2024-03-17,17:00,인천,강화권역,105,2024-03-17,18:00
277,2024-03-17,11:00,인천,강화권역,241,2024-03-17,13:00
278,2024-03-17,18:00,충북,중부권역,314,2024-03-17,21:00
279,2024-03-17,13:00,인천,영종·영흥권역,351,2024-03-17,17:00
280,2024-03-17,14:00,인천,서부권역,318,2024-03-17,17:00
281,2024-03-17,15:00,충남,북부권역,363,2024-03-17,19:00
282,2024-03-17,13:00,인천,강화권역,340,2024-03-17,17:00
283,2024-03-17,14:00,경기,북부권,305,2024-03-17,17:00
284,2024-01-10,07:00,대전,동부권역,262,2024-01-10,10:00
285,2024-01-10,07:00,세종,세종권역,165,2024-01-10,11:00
286,2024-01-10,07:00,대전,서부권역,180,2024-01-10,11:00
